price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE
25000,2025 08 11T12:31:29.000Z,ANNABA,BON TAT,THINKPAD,,2ND GEN INTEL CORE I3,4GB,128GB,,11.6,,,
25000,2024 12 27T18:07:39.000Z,CHIFFA,BON TAT,VIVOBOOK,,2ND GEN INTEL CORE I3,4GB,,,,,,
25000,2025 03 08T10:40:07.000Z,BIR EL DJIR,BON TAT,,,10TH GEN INTEL CORE I3,512GB,,4GB,15.6,,1920x1080,
24999,2025 04 03T10:40:13.000Z,ORAN,BON TAT,INSPIRON,,INTEL CORE I5,4GB,,512GB,15,,,
24500,2025 08 03T15:23:27.000Z,AIN TEMOUCHENT,BON TAT,THINKPAD,,INTEL PENTIUM N5000,4GB,128GB,,11,,,DDR4
24500,2025 08 03T15:18:23.000Z,AIN TEMOUCHENT,BON TAT,PROBOOK,,INTEL PENTIUM N4200,4GB,128GB,,11,,,DDR4
24500,2025 03 05T15:52:33.000Z,EL BIAR,BON TAT,INSPIRON,,INTEL CORE I5 5200U,8GB,500GB,,13,,,
24000,2025 06 02T20:36:08.000Z,MAZOUNA,BON TAT,VIVOBOOK,,INTEL PENTIUM,6GB,,698GB,,,,
24000,2025 07 10T18:52:03.000Z,GRAREM GOUGA,BON TAT,PAVILION,,INTEL CORE I5 M540,4GB,,256GB,12.1,,,
24000,2025 08 10T19:42:50.000Z,BIRKHADEM,MOYEN,INSPIRON,,INTEL CORE I5 6200U,8GB,,487GB,,,,
24000,2024 10 22T20:28:59.000Z,SOUMAA,BON TAT,LATITUDE,,INTEL CORE I5,4GB,128GB,,14,,,
24000,2025 06 18T15:35:09.000Z,TIMEZRIT,MOYEN,THINKPAD,,INTEL CORE I3 M330,4GB,,160GB,,,,
24000,2025 07 03T13:58:36.000Z,AIN KHADRA,BON TAT,,NVIDIA GEFORCE GT 410,INTEL CORE I3 2330M,4GB,,500GB,17.3,,,
24000,2024 10 26T18:05:36.000Z,REGHAIA,BON TAT,IDEAPAD,,INTEL CELERON N3060,4GB,,500GB,15,,,
24000,2025 01 16T17:20:41.000Z,REGGANE,BON TAT,,,INTEL CELERON N3050,2GB,,500GB,15,,,
24000,2025 01 12T08:37:16.000Z,KOUBA,BON TAT,THINKPAD,,INTEL CELERON N2950U,8GB,128GB,,15.6,,,DDR3
24000,2025 08 10T07:31:24.000Z,KHEMIS EL KHECHNA,BON TAT,,,INTEL CELERON,4GB,128GB,,13,,,
24000,2025 07 23T16:56:45.000Z,KOUBA,,,,INTEL ATOM Z3735F,2GB,32GB,,14.1,,,DDR3
24000,2021 06 16T09:17:08.000Z,EL EULMA,MOYEN,COMPAQ,,INTEL ATOM N270,,,160GB,11,,,
24000,2025 01 26T20:00:54.000Z,MCIF,BON TAT,PAVILION,,AMD ATHLON SILVER 3050U,4GB,,256GB,15.6,,1366x768,DDR4
